SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,20061215,177.7,186.5,173.0,174.45,553027,168057
3MINDIA,20061215,1506.2,1600.0,1506.2,1554.5,421,355
AARTIDRUGS,20061215,71.0,74.0,71.0,71.55,3358,2943
AARTIIND,20061215,29.0,29.6,28.5,28.8,56146,46565
AARVEEDEN,20061215,74.25,86.9,74.25,79.7,1446181,192683
ABAN,20061215,1084.9,1140.0,1068.0,1074.95,63959,32025
ABB,20061215,3701.0,3727.0,3625.0,3649.35,174651,59844
ABIRLANUVO,20061215,1181.0,1200.0,1132.8,1186.65,28825,21130
ABSHEKINDS,20061215,22.0,22.15,21.1,21.35,76012,56020
ACC,20061215,1040.0,1072.0,1036.0,1060.4,783003,150470
ACE,20061215,326.0,335.9,326.0,329.75,902920,189832
ADANIENT,20061215,240.0,242.4,230.0,232.7,683495,285516
ADHUNIK,20061215,33.1,34.4,32.65,33.3,126720,64672
ADLABSFILM,20061215,404.8,408.8,395.55,397.75,144815,46092
ADORWELD,20061215,246.95,249.7,239.0,241.25,9881,7678
AEGISCHEM,20061215,148.8,153.9,146.5,147.9,5011,3414
AFL,20061215,65.2,68.05,64.05,64.7,154448,22033
AFTEK,20061215,51.5,52.3,50.5,50.8,426294,158537
AGRODUTCH,20061215,23.3,23.55,23.15,23.4,26418,17277
AHMEDFORGE,20061215,248.0,260.0,248.0,257.95,27684,21402
AIAENG,20061215,1338.0,1358.7,1290.0,1309.6,44231,10994
AIRDECCAN,20061215,136.5,137.5,131.6,132.55,1055850,175678
AJANTPHARM,20061215,71.0,73.4,70.35,72.3,23205,16000
AKSHOPTFBR,20061215,42.0,43.5,41.9,42.05,147590,121406
ALBK,20061215,94.0,94.85,92.55,92.8,267246,117047
ALEMBICLTD,20061215,62.0,62.5,59.1,59.9,34666,20353
ALFALAVAL,20061215,844.95,850.0,831.0,845.25,7852,7775
ALLCARGO,20061215,1043.9,1075.0,1030.0,1031.2,4164,1681
ALLSEC,20061215,273.0,273.0,260.0,261.0,9659,5705
ALOKTEXT,20061215,71.9,72.4,69.25,69.9,376512,101196
ALPSINDUS,20061215,73.9,78.9,71.8,72.4,270579,130032
AMAR,20061215,59.45,64.0,58.65,59.15,307798,117449
AMARAJABAT,20061215,384.9,384.9,376.25,378.55,12063,9063
AMBICAAGAR,20061215,9.9,9.9,9.45,9.65,6000,4875
AMTEKAUTO,20061215,340.0,345.0,333.0,336.6,91254,82160
AMTEKINDIA,20061215,169.7,169.7,150.2,155.1,83916,42779
ANANTRAJ,20061215,1402.0,1402.6,1350.05,1363.25,6420,3572
ANDHRABANK,20061215,84.5,86.55,84.5,86.25,500912,254127
ANDHRSUGAR,20061215,120.6,123.8,120.1,120.9,22425,12116
ANSALINFRA,20061215,1030.0,1038.0,984.0,994.05,414665,257499
ANTGRAPHIC,20061215,0.35,0.4,0.35,0.35,67068,58468
APARINDS,20061215,225.0,225.0,219.0,219.65,4618,3160
APCOTEXIND,20061215,39.3,39.3,38.25,38.45,1231,1231
APIL,20061215,445.55,449.4,441.1,445.25,200371,59601
APOLLOHOSP,20061215,450.0,459.8,435.7,438.9,34267,18177
APOLLOTYRE,20061215,351.0,358.45,351.0,355.5,25283,12518
APPAPER,20061215,94.0,94.0,91.4,92.45,8898,4786
APTECHT,20061215,144.8,146.0,142.0,143.35,111680,29787
ARCHIES,20061215,171.5,174.85,170.0,170.7,44398,19757
ARL,20061215,1.45,1.45,1.35,1.4,235614,130063
ARSBONDS,20061215,100.56,101.0,100.56,100.92,20049,20048
ARVINDMILL,20061215,50.9,51.95,50.7,51.1,476044,168671
ASAHIINDIA,20061215,133.0,135.75,129.2,130.75,24671,18119
ASAL,20061215,84.0,84.0,81.0,81.0,424,399
ASHAPURMIN,20061215,220.0,220.0,216.1,218.6,2197,1800
ASHIMASYN,20061215,8.15,9.0,8.15,8.6,25632,19687
ASHOKLEY,20061215,43.0,43.25,41.9,42.0,2018963,723479
ASIANELEC,20061215,475.0,475.0,458.0,461.45,10093,6749
ASIANHOTEL,20061215,719.0,724.95,711.2,712.65,582,240
ASIANPAINT,20061215,718.1,724.0,715.0,721.35,7154,6347
ASSAMCO,20061215,22.6,23.05,22.5,22.65,157129,129273
ASTRAIDL,20061215,567.2,630.0,567.2,625.1,630,415
ASTRAMICRO,20061215,159.3,160.25,155.95,156.4,27501,21974
ATFL,20061215,85.9,86.75,84.5,84.9,11972,7183
ATLANTA,20061215,1219.0,1259.35,1219.0,1259.35,297257,72398
ATLASCYCLE,20061215,107.5,108.9,105.5,107.2,512,504
ATNINTER,20061215,2.0,2.1,1.95,2.0,16179,16150
ATUL,20061215,118.1,123.0,118.0,118.2,4885,2811
AUROPHARMA,20061215,680.0,705.0,677.1,695.45,307727,108075
AUTOAXLES,20061215,610.0,613.9,598.15,610.05,893,415
AVAYAGCL,20061215,225.0,231.0,225.0,225.15,19284,13040
AVENTIS,20061215,1409.5,1424.95,1400.0,1407.95,2897,2402
AZTECSOFT,20061215,161.5,162.5,160.0,161.05,45037,30925
BAGFILMS,20061215,8.15,8.6,8.15,8.3,86989,55497
BAJAJAUTO,20061215,2587.0,2589.55,2561.0,2571.75,205694,147466
BAJAJHIND,20061215,234.0,239.0,232.5,234.2,2209556,1036845
BAJAUTOFIN,20061215,342.1,349.8,342.1,347.1,4233,4056
BALAJITELE,20061215,133.3,137.25,133.3,134.5,50819,20447
BALASPONGE,20061215,49.0,51.25,49.0,51.0,120531,120431
BALASTEELS,20061215,14.4,14.95,14.0,14.15,11536,8375
BALKRISIND,20061215,538.0,540.0,526.0,529.1,3143,1849
BALMLAWRIE,20061215,395.05,405.0,390.0,390.25,2660,2207
BALPHARMA,20061215,40.35,40.5,38.55,38.75,19176,2872
BALRAMCHIN,20061215,84.5,85.35,83.25,83.6,3600682,983316
BANARISUG,20061215,815.0,839.0,805.0,815.25,1765,1020
BANKBARODA,20061215,238.7,247.95,237.7,246.75,475551,195769
BANKINDIA,20061215,180.0,193.9,180.0,192.6,2925829,1061393
BANKRAJAS,20061215,36.3,37.35,36.3,37.15,171738,105482
BASF,20061215,230.0,230.0,223.5,225.95,8354,5052
BASML,20061215,116.7,117.6,111.1,112.4,6719,4617
BATAINDIA,20061215,198.5,201.0,196.0,197.05,166747,54543
BBL,20061215,1155.0,1224.0,1155.0,1210.75,6260,4201
BBTC,20061215,322.55,357.95,322.55,340.25,2918,1575
BCCL,20061215,45.05,46.3,44.75,46.15,3575,2825
BEL,20061215,1320.0,1330.0,1275.25,1280.95,472703,271423
BELCERAMIC,20061215,13.8,14.5,13.8,14.4,11132,8000
BEML,20061215,964.8,975.0,950.0,956.3,32147,16357
BEPL,20061215,26.0,27.35,26.0,27.35,100,50
BERGEPAINT,20061215,46.5,47.0,45.35,45.85,29889,17027
BHAGYNAGAR,20061215,35.5,35.5,34.55,35.0,167993,134075
BHARATFORG,20061215,336.0,343.0,334.0,340.3,610643,302440
BHARATGEAR,20061215,51.85,53.35,50.25,52.6,1668,1292
BHARATRAS,20061215,52.0,52.35,48.4,51.9,495,85
BHARTIARTL,20061215,619.0,622.75,609.0,615.95,1565028,752545
BHARTISHIP,20061215,319.0,324.8,315.0,316.15,9757,7487
