SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20190603,39.75,40.35,39.05,39.65,32623,25782
21STCENMGM,20190603,19.05,19.05,18.7,18.7,1390,1390
3IINFOTECH,20190603,3.55,3.55,3.5,3.55,503061,296396
3MINDIA,20190603,22718.9,22900.0,22500.5,22859.05,1051,636
5PAISA,20190603,247.85,250.0,231.5,235.8,14666,9069
63MOONS,20190603,129.05,133.9,128.3,130.75,131877,46246
8KMILES,20190603,100.0,101.4,99.2,99.9,71792,37111
A2ZINFRA,20190603,15.55,16.55,15.55,16.25,144716,109010
AARON,20190603,47.0,47.0,47.0,47.0,3000,3000
AARTIDRUGS,20190603,570.95,575.7,557.8,560.1,7816,4407
AARTIIND,20190603,1879.85,1884.0,1855.1,1863.9,70953,52991
AARVEEDEN,20190603,24.5,24.5,23.0,23.9,2792,1480
AAVAS,20190603,1407.35,1410.3,1381.0,1384.4,24349,17304
ABB,20190603,1571.1,1615.5,1551.3,1593.35,89242,30836
ABBOTINDIA,20190603,7791.0,7910.0,7711.2,7884.25,17758,16735
ABCAPITAL,20190603,99.0,102.8,98.35,102.5,2104160,1023513
ABFRL,20190603,209.4,219.85,209.4,218.85,579889,199756
ABSLNN50ET,20190603,275.99,281.5,275.99,281.0,231,123
ACC,20190603,1696.85,1729.0,1678.0,1725.2,676566,226310
ACCELYA,20190603,897.0,900.0,890.1,892.5,5403,4635
ACCURACY,20190603,70.0,70.0,70.0,70.0,17600,17600
ACE,20190603,107.0,107.85,104.0,104.6,100940,52498
ADANIENT,20190603,154.0,161.9,151.65,159.05,7975636,1205288
ADANIGAS,20190603,167.0,180.25,166.65,178.65,4940331,1185599
ADANIGREEN,20190603,43.55,45.1,42.05,44.1,1032570,403295
ADANIPORTS,20190603,416.4,426.35,412.1,424.75,3852273,1317070
ADANIPOWER,20190603,50.45,50.65,49.1,50.35,10128255,1026627
ADANITRANS,20190603,236.4,237.0,231.5,235.7,88802,36023
ADFFOODS,20190603,291.0,305.0,287.9,298.85,146341,45352
ADHUNIKIND,20190603,84.9,84.95,82.5,82.8,11925,8326
ADLABS,20190603,7.5,7.8,7.35,7.55,86538,61213
ADORWELD,20190603,362.1,366.95,357.55,362.45,2606,1643
ADSL,20190603,18.15,18.4,17.05,18.0,110282,76693
ADVANIHOTR,20190603,64.0,65.85,63.85,65.0,8924,7978
ADVENZYMES,20190603,216.0,216.5,211.15,214.2,302658,193018
AEGISCHEM,20190603,232.0,232.0,217.3,218.9,130108,86012
AGARIND,20190603,164.0,164.0,159.35,161.15,2931,2715
AGCNET,20190603,110.05,112.45,109.0,110.0,1149,989
AGLSL,20190603,59.45,59.45,53.65,56.0,1803,1602
AGRITECH,20190603,60.55,63.95,58.55,60.4,12239,6538
AHLEAST,20190603,212.0,212.0,206.3,209.35,2219,1901
AHLUCONT,20190603,334.0,341.35,323.0,332.85,4221,2389
AHLWEST,20190603,339.2,345.0,330.0,343.05,3880,2356
AIAENG,20190603,1786.0,1838.9,1773.0,1794.3,45348,28139
AIONJSW,20190603,21.25,21.4,20.6,21.0,27289,19105
AIRAN,20190603,32.0,32.0,26.8,30.4,16426,7840
AJANTPHARM,20190603,1045.0,1051.2,1030.05,1048.0,239541,87692
AJMERA,20190603,180.2,184.4,177.55,181.15,56452,30069
AKASH,20190603,58.0,58.35,58.0,58.15,8000,8000
AKG,20190603,35.0,35.0,34.9,34.9,124000,120000
AKSHARCHEM,20190603,340.0,340.0,310.0,315.85,4557,2456
AKSHOPTFBR,20190603,13.35,13.45,12.55,12.7,903313,556316
AKZOINDIA,20190603,1742.0,1802.0,1740.05,1793.7,7204,6188
ALANKIT,20190603,39.35,40.25,38.45,39.2,1010420,196989
ALBERTDAVD,20190603,439.8,439.8,423.25,430.5,5535,3258
ALBK,20190603,44.5,45.25,44.05,44.55,3314049,333092
ALEMBICLTD,20190603,43.5,44.35,41.3,44.05,281557,188627
ALICON,20190603,602.95,617.05,580.15,587.45,2635,1492
ALKALI,20190603,45.0,47.55,44.45,45.3,45981,26164
ALKEM,20190603,1776.4,1804.9,1765.0,1772.7,15548,7414
ALKYLAMINE,20190603,820.7,874.0,819.55,861.8,6564,4187
ALLCARGO,20190603,113.7,114.9,107.85,109.05,205272,117100
ALLSEC,20190603,312.0,312.0,308.0,310.95,5387155,5387155
ALLSEC,20190603,319.0,319.0,319.0,319.0,5387155,5387155
ALMONDZ,20190603,19.5,20.8,18.8,20.5,14360,14221
ALPA,20190603,22.6,23.35,22.5,22.6,8994,5935
ALPHAGEO,20190603,479.8,485.0,470.65,475.0,7067,5009
AMARAJABAT,20190603,632.1,642.95,628.1,637.45,229484,61446
AMBER,20190603,843.05,850.0,830.05,839.05,7725,3430
AMBIKCO,20190603,1091.0,1110.15,1080.25,1086.1,3263,2336
AMBUJACEM,20190603,232.9,237.8,229.4,237.15,2560455,1174363
AMDIND,20190603,19.75,20.15,19.7,19.95,4199,3050
AMJLAND,20190603,19.35,19.85,19.2,19.25,7871,7371
AMRUTANJAN,20190603,315.0,328.7,314.95,322.1,57252,24218
ANANTRAJ,20190603,33.95,34.5,33.55,33.9,229237,126114
ANDHRABANK,20190603,24.75,24.85,24.1,24.65,385531,147468
ANDHRSUGAR,20190603,386.55,389.0,375.0,379.6,38368,17663
ANIKINDS,20190603,13.6,14.0,13.5,13.9,1617,1227
ANSALAPI,20190603,8.55,8.65,8.3,8.5,48413,30363
ANSALHSG,20190603,9.7,9.95,9.35,9.6,135186,76545
ANUP,20190603,507.8,515.55,490.0,513.7,13772,10287
APARINDS,20190603,669.85,687.55,667.85,669.65,5192,3663
APCL,20190603,187.0,189.95,182.0,187.9,8882,7355
APCOTEXIND,20190603,534.0,539.9,528.55,534.95,3985,1733
APEX,20190603,299.05,300.8,287.15,288.3,77423,39348
APLAPOLLO,20190603,1620.9,1621.0,1565.3,1574.6,38752,32708
APLLTD,20190603,516.25,520.0,516.25,518.95,114454,111960
APOLLO,20190603,135.0,135.0,129.15,129.95,21192,15584
APOLLOHOSP,20190603,1243.0,1368.7,1243.0,1357.3,3836627,474989
APOLLOTYRE,20190603,192.55,198.0,192.2,196.35,2324600,681449
APOLSINHOT,20190603,935.05,982.0,935.0,966.15,3813,2430
APTECHT,20190603,157.8,160.95,153.35,156.45,209903,50568
ARCHIDPLY,20190603,38.6,39.15,37.3,37.85,24170,9412
ARCHIES,20190603,21.45,23.0,21.45,22.8,101995,86860
ARIES,20190603,76.0,76.7,75.15,75.55,20089,11571
ARIHANT,20190603,30.0,31.95,27.95,29.25,5375,2183
ARMANFIN,20190603,400.0,415.75,400.0,410.2,5325,3638
AROGRANITE,20190603,56.4,56.4,53.1,53.4,6707,5670
ARROWGREEN,20190603,63.7,63.75,59.0,59.45,12616,9927
ARROWTEX,20190603,16.8,16.8,16.0,16.65,7139,3027
ARSHIYA,20190603,30.6,31.8,30.1,30.6,18578,13326
ARVEE,20190603,59.0,59.0,59.0,59.0,2000,2000
ARVIND,20190603,74.4,76.2,73.05,75.7,1500522,314856
ARVINDFASN,20190603,801.0,818.0,765.0,805.5,23913,13742
ARVSMART,20190603,114.05,115.0,110.65,114.7,9252,4307
ASAHIINDIA,20190603,238.0,242.0,238.0,240.4,8751,6099
ASAHISONG,20190603,155.05,165.0,155.05,158.5,2197,1503
ASAL,20190603,50.65,50.65,50.0,50.0,855,780
ASHIANA,20190603,119.0,121.2,119.0,120.0,81980,77179
ASHIMASYN,20190603,11.8,11.8,11.35,11.55,8397,5923
ASHOKA,20190603,144.0,148.45,142.0,146.95,194022,106800
ASHOKLEY,20190603,88.85,92.3,87.8,91.85,34358814,7521798
ASIANHOTNR,20190603,127.35,130.55,127.35,129.3,455,155
ASIANPAINT,20190603,1431.95,1464.95,1430.0,1459.25,2867897,1214082
ASIANTILES,20190603,252.9,254.75,248.0,250.7,166783,72548
ASLIND,20190603,14.45,14.45,14.45,14.45,4000,4000
ASPINWALL,20190603,153.05,155.15,150.3,151.8,2466,2307
ASTEC,20190603,454.95,457.9,442.0,454.6,7973,5780
ASTERDM,20190603,149.75,150.7,144.0,145.45,25660,15351
ASTRAL,20190603,1331.0,1349.65,1325.0,1337.15,47512,19753
ASTRAMICRO,20190603,87.95,88.0,86.95,87.65,74220,40917
ASTRAZEN,20190603,1970.0,1985.0,1935.15,1944.9,11136,7721
ASTRON,20190603,107.5,111.0,106.05,110.55,272103,103462
ATFL,20190603,534.0,534.05,528.55,531.45,13777,7012
ATLANTA,20190603,13.7,13.7,13.25,13.25,47819,28567
ATUL,20190603,4076.0,4076.0,3955.1,3989.85,32300,18513
ATULAUTO,20190603,313.1,313.1,300.3,303.3,27376,13007
AUBANK,20190603,692.65,707.9,689.3,696.35,215958,156432
AURDIS,20190603,28.7,28.7,28.7,28.7,2000,2000
AURIONPRO,20190603,128.2,129.3,125.05,126.7,13735,9265
AUROPHARMA,20190603,659.0,660.85,640.0,656.85,5404361,833792
AUSOMENT,20190603,36.95,37.95,35.1,36.85,449,377
AUTOAXLES,20190603,1117.0,1120.0,1094.95,1099.35,6006,3981
AUTOIND,20190603,48.75,48.75,46.6,46.75,18466,11955
AVADHSUGAR,20190603,685.1,686.0,666.6,669.85,38483,18066
AVANTIFEED,20190603,372.8,373.0,363.55,365.1,371946,94583
AVG,20190603,92.0,104.5,92.0,104.0,12000,6000
AVTNPL,20190603,24.7,27.2,24.4,25.25,108019,77454
AXISBANK,20190603,813.55,814.65,803.1,812.65,6427567,3445276
AXISCADES,20190603,63.0,68.35,62.15,66.7,500148,140719
AXISGOLD,20190603,2833.0,2846.95,2825.1,2829.9,215,137
AXISNIFTY,20190603,1226.0,1231.09,1218.95,1230.68,90,77
AYMSYNTEX,20190603,35.6,37.0,35.0,35.95,7719,6022
BAGFILMS,20190603,4.15,4.25,4.05,4.1,126780,107025
BAJAJ-AUTO,20190603,2945.0,3077.95,2904.6,3034.6,1302391,454898
BAJAJCON,20190603,343.5,343.5,332.55,338.35,114298,99877
BAJAJELEC,20190603,542.2,549.4,533.1,537.85,137232,48262
BAJAJFINSV,20190603,8194.0,8365.0,8194.0,8348.1,170966,39989
BAJAJHIND,20190603,9.0,9.2,8.9,8.95,1821229,684611
BAJAJHLDNG,20190603,3524.0,3524.0,3470.0,3505.3,47101,38643
BAJFINANCE,20190603,3460.0,3529.9,3460.0,3511.05,1241133,344061
BALAJITELE,20190603,72.9,72.9,69.55,70.2,42308,33022
BALAMINES,20190603,401.95,406.9,394.0,398.9,50693,38452
BALKRISHNA,20190603,35.4,36.65,35.35,35.9,4030,2996
BALKRISIND,20190603,783.45,804.9,770.55,784.7,803163,171543
BALLARPUR,20190603,2.55,2.55,2.45,2.45,935162,730560
BALMLAWRIE,20190603,193.05,197.45,193.0,193.6,51988,37546
BALPHARMA,20190603,68.6,69.0,67.2,67.6,7915,6380
BALRAMCHIN,20190603,154.5,157.7,152.7,155.8,1148963,451518
BANARBEADS,20190603,48.9,51.55,48.0,48.7,3646,2832
BANARISUG,20190603,1475.0,1475.0,1411.75,1474.0,282,180
BANCOINDIA,20190603,138.05,141.45,133.6,138.3,33371,24340
BANDHANBNK,20190603,591.1,602.9,582.0,599.75,426586,254202
BANG,20190603,46.35,47.95,45.35,46.2,15062,11103
BANKA,20190603,98.7,98.7,98.7,98.7,2400,2400
BANKBARODA,20190603,133.9,133.9,129.2,131.55,25926630,5145435
BANKBEES,20190603,3250.0,3250.0,3177.5,3225.39,33770,24757
BANKINDIA,20190603,94.85,95.6,93.25,95.25,6556319,477817
BANSAL,20190603,5.55,5.55,5.55,5.55,3000,3000
BANSWRAS,20190603,84.0,84.0,77.4,78.5,10477,7790
BARTRONICS,20190603,5.7,5.95,5.65,5.7,13700,8209
BASF,20190603,1375.0,1390.0,1360.0,1373.4,5356,3881
BASML,20190603,170.1,184.55,165.05,173.0,252,133
BATAINDIA,20190603,1330.0,1370.25,1316.6,1362.8,935788,238977
BAYERCROP,20190603,3810.0,3825.95,3750.0,3784.9,5822,3358
BBL,20190603,1156.65,1174.45,1134.5,1153.45,5097,2698
BBTC,20190603,1162.9,1179.8,1155.0,1158.5,89553,34867
BBTCL,20190603,48.0,48.5,47.05,47.2,15000,12000
BCONCEPTS,20190603,54.0,54.0,52.0,52.0,9000,3000
BDL,20190603,299.05,306.75,294.05,301.8,32120,14181
BEARDSELL,20190603,14.55,15.0,14.3,14.5,1364,1184
BEDMUTHA,20190603,17.3,17.3,15.6,16.0,20897,550
BEL,20190603,112.0,112.7,110.65,111.2,10352655,4837398
BEML,20190603,978.0,1004.3,964.0,1000.0,1612509,101521
BEPL,20190603,71.4,75.0,70.1,74.3,650882,258333
BERGEPAINT,20190603,331.15,332.6,326.35,327.55,1913601,327183
BETA,20190603,90.1,93.1,90.1,92.2,6400,3200
BFINVEST,20190603,241.15,241.15,232.5,236.0,33465,12529
BFUTILITIE,20190603,206.5,206.5,198.1,200.75,298908,69862
BGRENERGY,20190603,62.3,62.3,58.5,58.85,70390,36193
BHAGERIA,20190603,277.0,280.0,272.35,273.25,16392,4364
BHAGYANGR,20190603,28.35,28.4,27.05,27.7,5414,4772
BHAGYAPROP,20190603,27.0,28.0,25.55,27.9,14771,13005
BHANDARI,20190603,1.8,1.85,1.75,1.85,171591,122793
BHARATFIN,20190603,999.0,1044.8,991.0,1042.45,1214783,753127
BHARATFORG,20190603,469.0,472.45,454.15,464.5,1286958,411652
BHARATGEAR,20190603,120.6,125.9,116.0,119.4,31069,14187
BHARATRAS,20190603,4345.0,4450.0,4270.05,4406.15,604,339
BHARATWIRE,20190603,43.95,44.55,40.3,41.35,35146,31306
BHARTIARTL,20190603,351.5,355.75,348.85,352.75,5118048,2860633
BHEL,20190603,69.8,72.25,69.55,71.55,11879171,3195802
BIGBLOC,20190603,33.7,33.7,33.5,33.5,2086,1685
BIL,20190603,287.6,300.0,277.25,293.85,13597,4559
BINDALAGRO,20190603,15.0,15.1,14.5,14.95,25313,22781
BIOCON,20190603,546.0,558.8,541.0,553.4,2047703,661972
BIRLACABLE,20190603,113.8,115.5,110.75,112.55,47186,25046
BIRLACORPN,20190603,650.0,674.7,650.0,669.55,76329,53240
BIRLAMONEY,20190603,50.25,50.6,49.85,50.25,36197,20423
BLBLIMITED,20190603,4.7,4.9,4.7,4.75,20155,14582
BLISSGVS,20190603,165.3,166.0,159.55,163.15,1102818,343560
BLKASHYAP,20190603,16.5,17.15,15.6,15.75,225080,186293
BLS,20190603,126.6,128.0,125.05,127.05,29754,13937
BLUEBLENDS,20190603,2.5,2.5,2.5,2.5,100,100
BLUECOAST,20190603,8.1,8.1,7.45,7.45,20201,12946
BLUEDART,20190603,2650.2,2750.0,2650.2,2696.8,15187,14098
BLUEDART,20190603,2650.2,2750.0,2650.2,2696.8,1806,1806
BLUEDART,20190603,10.06,10.7,10.06,10.7,15187,14098
BLUEDART,20190603,10.06,10.7,10.06,10.7,1806,1806
BLUESTARCO,20190603,813.0,813.0,797.65,800.35,107051,78658
BODALCHEM,20190603,115.7,116.4,113.3,114.0,56552,33721
BOMDYEING,20190603,128.0,128.0,123.55,125.45,1176250,414527
BOROSIL,20190603,196.95,196.95,191.0,194.2,25970,17002
BOSCHLTD,20190603,17750.0,17877.0,17370.0,17404.85,15636,8355
BPCL,20190603,417.5,419.9,411.15,417.1,7021983,2186920
BPL,20190603,26.1,26.3,25.1,25.35,91838,47920
BRIGADE,20190603,248.0,257.25,248.0,251.75,32085,22100
BRITANNIA,20190603,2936.0,3000.0,2935.9,2970.2,535064,247748
BRNL,20190603,93.9,93.95,92.7,93.05,3020,1730
BROOKS,20190603,53.0,54.75,52.05,52.55,16936,9773
BSE,20190603,620.0,621.0,613.8,618.7,57841,44168
BSELINFRA,20190603,1.9,1.95,1.8,1.85,80383,65207
BSHSL,20190603,132.0,132.0,132.0,132.0,1000,1000
BSL,20190603,38.75,38.75,37.1,37.15,1561,1160
BSLGOLDETF,20190603,2957.0,2979.05,2957.0,2972.0,521,386
BSLNIFTY,20190603,137.0,137.0,129.34,130.43,823,696
