SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20190306,40.4,41.45,39.75,40.55,38445,21958
21STCENMGM,20190306,18.45,18.45,18.35,18.45,1871,1871
3IINFOTECH,20190306,3.75,3.9,3.6,3.8,5807248,2711427
3MINDIA,20190306,23628.0,24000.05,22951.0,23252.1,6683,5188
3PLAND,20190306,11.0,11.65,10.7,10.7,45,9
5PAISA,20190306,245.0,247.05,226.05,229.2,14621,9524
63MOONS,20190306,86.2,87.1,84.65,85.25,198616,69630
8KMILES,20190306,116.0,116.0,109.0,110.0,452309,232103
AAKASH,20190306,20.5,20.5,20.5,20.5,2000,2000
AARON,20190306,43.95,43.95,43.95,43.95,3000,3000
AARTIDRUGS,20190306,591.0,631.35,588.5,628.75,33275,19716
AARTIIND,20190306,1487.0,1520.0,1478.05,1517.35,160500,91090
AARVEEDEN,20190306,24.0,24.0,22.15,23.25,16400,10903
AARVI,20190306,41.3,41.3,41.3,41.3,2000,2000
AAVAS,20190306,1124.7,1190.0,1120.0,1166.2,203998,168776
ABAN,20190306,60.95,72.1,60.3,72.1,3386567,746101
ABB,20190306,1238.0,1251.0,1225.0,1244.55,169943,108909
ABBOTINDIA,20190306,7320.0,7400.0,7310.0,7362.7,4894,4176
ABCAPITAL,20190306,100.6,101.5,99.3,99.8,3118084,1858829
ABFRL,20190306,226.1,226.1,218.75,219.85,612206,299625
ABSLNN50ET,20190306,279.95,284.0,278.0,284.0,35,35
ABSLRIF6RG,20190306,7.62,7.62,7.62,7.62,1000,1000
ACC,20190306,1533.0,1561.9,1533.0,1554.4,2035880,1341261
ACCELYA,20190306,933.55,940.85,930.0,934.95,11287,10483
ACE,20190306,90.1,94.7,89.0,93.85,392630,188824
ACEINTEG,20190306,24.25,24.25,23.0,23.0,12000,12000
ADANIENT,20190306,142.75,143.75,138.2,139.25,4856085,991160
ADANIGAS,20190306,111.4,114.0,100.6,113.1,1096455,439755
ADANIGREEN,20190306,36.75,37.45,35.0,35.4,976586,595429
ADANIPORTS,20190306,342.5,349.2,334.05,337.05,7949482,4062615
ADANIPOWER,20190306,51.7,51.7,49.8,50.7,17876199,2445874
ADANITRANS,20190306,210.1,218.45,207.1,208.25,381332,182224
ADFFOODS,20190306,271.4,271.4,258.75,262.95,47347,27106
ADHUNIK,20190306,1.7,1.7,1.7,1.7,10611,10611
ADHUNIKIND,20190306,53.85,54.7,52.55,53.65,13484,4757
ADLABS,20190306,9.4,9.75,9.25,9.5,205442,136367
ADORWELD,20190306,346.85,350.0,336.25,340.55,10396,4982
ADROITINFO,20190306,19.2,21.85,19.2,19.6,20461,14234
ADSL,20190306,14.25,14.7,13.5,13.85,10861,8226
ADVANIHOTR,20190306,65.6,67.9,64.0,66.75,2283,1798
ADVENZYMES,20190306,152.0,161.0,151.5,156.05,2041451,1278579
AEGISCHEM,20190306,208.55,208.6,200.75,205.05,141766,89323
AGARIND,20190306,177.95,178.0,170.4,171.05,969,565
AGCNET,20190306,103.0,108.7,103.0,103.85,6741,4838
AGLSL,20190306,64.8,65.5,60.0,61.05,14482,13495
AGRITECH,20190306,53.05,54.05,52.55,53.05,9273,7037
